plotcode,visit,lulc,phase,date,season,common_name,scientific_name,family,order,cue,individual
F6,7,forest,4,04/03/2023,post-winter,Slaty-backed Forktail,Enicurus schistaceus,Muscicapidae,Passeriformes,call,1
F6,7,forest,4,04/03/2023,post-winter,Spotted Forktail,Enicurus maculatus,Muscicapidae,Passeriformes,call,1
F6,7,forest,4,04/03/2023,post-winter,Whiskered Yuhina,Yuhina flavicollis,Zosteropidae,Passeriformes,call,1
F6,7,forest,4,04/03/2023,post-winter,White-throated Fantail,Rhipidura albicollis,Rhipiduridae,Passeriformes,call,1
F6,7,forest,4,04/03/2023,post-winter,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes,sight,1
F2,7,forest,4,05/03/2023,post-winter,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes,call,1
F2,7,forest,4,05/03/2023,post-winter,Bay Woodpecker,Blythipicus pyrrhotis,Picidae,Piciformes,call,1
F2,7,forest,4,05/03/2023,post-winter,Blyth's Leaf Warbler,Phylloscopus reguloides,Phylloscopidae,Passeriformes,call,1
F2,7,forest,4,05/03/2023,post-winter,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes,call,1
F2,7,forest,4,05/03/2023,post-winter,Great Barbet,Psilopogon virens,Megalaimidae,Piciformes,call,1
F2,7,forest,4,05/03/2023,post-winter,Grey Treepie,Dendrocitta formosae,Corvidae,Passeriformes,call,1
F2,7,forest,4,05/03/2023,post-winter,Grey-cheeked Warbler,Phylloscopus poliogenys,Phylloscopidae,Passeriformes,call,1
F2,7,forest,4,05/03/2023,post-winter,Orange-bellied Leafbird,Chloropsis hardwickii,Chloropseidae,Passeriformes,sight,2
F2,7,forest,4,05/03/2023,post-winter,Scarlet-backed Flowerpecker,Dicaeum cruentatum,Dicaeidae,Passeriformes,call,1
F2,7,forest,4,05/03/2023,post-winter,Slaty-backed Forktail,Enicurus schistaceus,Muscicapidae,Passeriformes,call,1
F2,7,forest,4,05/03/2023,post-winter,Spotted Forktail,Enicurus maculatus,Muscicapidae,Passeriformes,call,1
F2,7,forest,4,05/03/2023,post-winter,White-bellied Erpornis,Erpornis zantholeuca,Vireonidae,Passeriformes,sight,2
F2,7,forest,4,05/03/2023,post-winter,White-throated Fantail,Rhipidura albicollis,Rhipiduridae,Passeriformes,call,1
F2,7,forest,4,05/03/2023,post-winter,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes,call,1
F3,7,forest,4,05/03/2023,post-winter,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes,call,1
F3,7,forest,4,05/03/2023,post-winter,Bay Woodpecker,Blythipicus pyrrhotis,Picidae,Piciformes,call,1
F3,7,forest,4,05/03/2023,post-winter,Blue Whistling-Thrush,Myophonus caeruleus,Muscicapidae,Passeriformes,call,1
F3,7,forest,4,05/03/2023,post-winter,Blyth's Leaf Warbler,Phylloscopus reguloides,Phylloscopidae,Passeriformes,call,1
F3,7,forest,4,05/03/2023,post-winter,Common Green Magpie,Cissa chinensis,Corvidae,Passeriformes,call,1
F3,7,forest,4,05/03/2023,post-winter,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes,call,2
F3,7,forest,4,05/03/2023,post-winter,Great Barbet,Psilopogon virens,Megalaimidae,Piciformes,call,1
F3,7,forest,4,05/03/2023,post-winter,Green-tailed Sunbird,Aethopyga nipalensis,Nectariniidae,Passeriformes,call,1
F3,7,forest,4,05/03/2023,post-winter,Lesser racket-tailed Drongo,Dicrurus remifer,Dicruridae,Passeriformes,call,1
F3,7,forest,4,05/03/2023,post-winter,Orange-bellied Leafbird,Chloropsis hardwickii,Chloropseidae,Passeriformes,call,1
F3,7,forest,4,05/03/2023,post-winter,Rufous-winged Fulvetta,Schoeniparus castaneceps,Pellorneidae,Passeriformes,call,1
F3,7,forest,4,05/03/2023,post-winter,Slaty-backed Forktail,Enicurus schistaceus,Muscicapidae,Passeriformes,call,1
F3,7,forest,4,05/03/2023,post-winter,Spotted Forktail,Enicurus maculatus,Muscicapidae,Passeriformes,call,1
F3,7,forest,4,05/03/2023,post-winter,White-bellied Erpornis,Erpornis zantholeuca,Vireonidae,Passeriformes,call,1
F3,7,forest,4,05/03/2023,post-winter,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes,call,1
A5,8,abandoned,4,07/03/2023,post-winter,Black-throated Tit,Aegithalos concinnus,Aegithalidae,Passeriformes,sight,8
A5,8,abandoned,4,07/03/2023,post-winter,Brownish-flanked Bush Warbler,Horornis fortipes,Scotocercidae,Passeriformes,call,1
A5,8,abandoned,4,07/03/2023,post-winter,Hill Prinia,Prinia superciliaris,Cisticolidae,Passeriformes,sight,1
B3,7,bamboo,4,28/02/2023,post-winter,Nepal Fulvetta,Alcippe nipalensis,Leiothrichidae,Passeriformes,call,1
A5,8,abandoned,4,07/03/2023,post-winter,Whiskered Yuhina,Yuhina flavicollis,Zosteropidae,Passeriformes,call,1
B1,8,bamboo,4,07/03/2023,post-winter,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes,call,1
B1,8,bamboo,4,07/03/2023,post-winter,Black-throated Sunbird,Aethopyga saturata,Nectariniidae,Passeriformes,call,1
B1,8,bamboo,4,07/03/2023,post-winter,Golden Babbler,Cyanoderma chrysaeum,Timaliidae,Passeriformes,call,1
B1,8,bamboo,4,07/03/2023,post-winter,Grey Treepie,Dendrocitta formosae,Corvidae,Passeriformes,call,1
B1,8,bamboo,4,07/03/2023,post-winter,Grey-cheeked Warbler,Phylloscopus poliogenys,Phylloscopidae,Passeriformes,sight,2
B1,8,bamboo,4,07/03/2023,post-winter,Mountain Tailorbird,Phyllergates cucullatus,Scotocercidae,Passeriformes,call,1
B7,8,bamboo,4,03/03/2023,post-winter,Nepal Fulvetta,Alcippe nipalensis,Leiothrichidae,Passeriformes,call,1
B1,8,bamboo,4,07/03/2023,post-winter,Rufous-faced Warbler,Abroscopus albogularis,Scotocercidae,Passeriformes,sight,2
B1,8,bamboo,4,07/03/2023,post-winter,Slaty-backed Forktail,Enicurus schistaceus,Muscicapidae,Passeriformes,call,1
B1,8,bamboo,4,07/03/2023,post-winter,Spotted Forktail,Enicurus maculatus,Muscicapidae,Passeriformes,call,1
B1,8,bamboo,4,07/03/2023,post-winter,White-gorgeted Flycatcher,Anthipes monileger,Muscicapidae,Passeriformes,call,1
B1,8,bamboo,4,07/03/2023,post-winter,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes,call,1
B2,8,bamboo,4,07/03/2023,post-winter,Bay Woodpecker,Blythipicus pyrrhotis,Picidae,Piciformes,call,1
B2,8,bamboo,4,07/03/2023,post-winter,Chestnut-headed Tesia,Cettia castaneocoronata,Scotocercidae,Passeriformes,call,1
B2,8,bamboo,4,07/03/2023,post-winter,Grey Treepie,Dendrocitta formosae,Corvidae,Passeriformes,call,1
B2,8,bamboo,4,07/03/2023,post-winter,Grey-cheeked Warbler,Phylloscopus poliogenys,Phylloscopidae,Passeriformes,call,1
B2,8,bamboo,4,07/03/2023,post-winter,Hume's Bush Warbler,Horornis brunnescens,Scotocercidae,Passeriformes,call,1
B2,8,bamboo,4,07/03/2023,post-winter,Red-billed Scimitar Babbler,Pomatorhinus ochraceiceps,Timaliidae,Passeriformes,call,1
B2,8,bamboo,4,07/03/2023,post-winter,Rufous-faced Warbler,Abroscopus albogularis,Scotocercidae,Passeriformes,call,1
B2,8,bamboo,4,07/03/2023,post-winter,Slaty-backed Forktail,Enicurus schistaceus,Muscicapidae,Passeriformes,call,1
B2,8,bamboo,4,07/03/2023,post-winter,Striated Laughingthrush,Grammatoptila striata,Leiotrichidae,Passeriformes,call,1
B2,8,bamboo,4,07/03/2023,post-winter,White-gorgeted Flycatcher,Anthipes monileger,Muscicapidae,Passeriformes,call,1
J4,8,jhum,4,07/03/2023,post-winter,Blue-fronted Redstart,Phoenicurus frontalis,Muscicapidae,Passeriformes,sight,1
J4,8,jhum,4,07/03/2023,post-winter,Brownish-flanked Bush Warbler,Horornis fortipes,Scotocercidae,Passeriformes,call,1
J4,8,jhum,4,07/03/2023,post-winter,Grey Bushchat,Saxicola ferreus,Muscicapidae,Passeriformes,sight,2
J4,8,jhum,4,07/03/2023,post-winter,Long-tailed Shrike,Lanius schach,Laniidae,Passeriformes,sight,1
J4,8,jhum,4,07/03/2023,post-winter,Olive-backed Pipit,Anthus hodgsoni,Motacillidae,Passeriformes,sight,6
J4,8,jhum,4,07/03/2023,post-winter,Rufous-breasted Accentor,Prunella strophiata,Prunellidae,Passeriformes,sight,2
J5,8,jhum,4,07/03/2023,post-winter,Brownish-flanked Bush Warbler,Horornis fortipes,Scotocercidae,Passeriformes,call,1
J5,8,jhum,4,07/03/2023,post-winter,Daurian Redstart,Phoenicurus auroreus,Muscicapidae,Passeriformes,sight,3
J5,8,jhum,4,07/03/2023,post-winter,Eurasian Tree Sparrow,Passer montanus,Passeridae,Passeriformes,sight,3
J5,8,jhum,4,07/03/2023,post-winter,Rufous-breasted Accentor,Prunella strophiata,Prunellidae,Passeriformes,sight,2
A6,8,abandoned,4,08/03/2023,post-winter,Brownish-flanked Bush Warbler,Horornis fortipes,Scotocercidae,Passeriformes,call,2
A6,8,abandoned,4,08/03/2023,post-winter,Chestnut-headed Tesia,Cettia castaneocoronata,Scotocercidae,Passeriformes,call,1
A6,8,abandoned,4,08/03/2023,post-winter,Hill Prinia,Prinia superciliaris,Cisticolidae,Passeriformes,call,1
A6,8,abandoned,4,08/03/2023,post-winter,Rufous-faced Warbler,Abroscopus albogularis,Scotocercidae,Passeriformes,call,1
A6,8,abandoned,4,08/03/2023,post-winter,Tickell's Leaf Warbler,Phylloscopus affinis,Phylloscopidae,Passeriformes,call,1
A7,8,abandoned,4,08/03/2023,post-winter,Hill Prinia,Prinia superciliaris,Cisticolidae,Passeriformes,call,1
A7,8,abandoned,4,08/03/2023,post-winter,Rufous-breasted Accentor,Prunella strophiata,Prunellidae,Passeriformes,sight,1
A8,8,abandoned,4,08/03/2023,post-winter,Black Bulbul,Hypsipetes leucocephalus,Pycnonotidae,Passeriformes,sight,3
A8,8,abandoned,4,08/03/2023,post-winter,Blyth's Leaf Warbler,Phylloscopus reguloides,Phylloscopidae,Passeriformes,call,1
A8,8,abandoned,4,08/03/2023,post-winter,Hume's Bush Warbler,Horornis brunnescens,Scotocercidae,Passeriformes,call,1
A6,7,abandoned,4,01/03/2023,post-winter,White-crested Laughingthrush,Garrulax leucolophus,Leiothrichidae,Passeriformes,call,1
B3,8,bamboo,4,08/03/2023,post-winter,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes,call,1
B3,8,bamboo,4,08/03/2023,post-winter,Black-crowned Scimitar Babbler,Pomatorhinus ferruginosus,Timaliidae,Passeriformes,call,1
B3,8,bamboo,4,08/03/2023,post-winter,Blyth's Leaf Warbler,Phylloscopus reguloides,Phylloscopidae,Passeriformes,call,1
B3,8,bamboo,4,08/03/2023,post-winter,Brownish-flanked Bush Warbler,Horornis fortipes,Scotocercidae,Passeriformes,call,1
B3,8,bamboo,4,08/03/2023,post-winter,Chestnut-headed Tesia,Cettia castaneocoronata,Scotocercidae,Passeriformes,call,1
B3,8,bamboo,4,08/03/2023,post-winter,Golden Babbler,Cyanoderma chrysaeum,Timaliidae,Passeriformes,sight,3
B3,8,bamboo,4,08/03/2023,post-winter,Grey-bellied Tesia,Tesia cyaniventer,Scotocercidae,Passeriformes,call,1
B3,8,bamboo,4,08/03/2023,post-winter,Grey-cheeked Warbler,Phylloscopus poliogenys,Phylloscopidae,Passeriformes,call,1
B3,8,bamboo,4,08/03/2023,post-winter,Hume's Bush Warbler,Horornis brunnescens,Scotocercidae,Passeriformes,call,1
B3,8,bamboo,4,08/03/2023,post-winter,Mountain Tailorbird,Phyllergates cucullatus,Scotocercidae,Passeriformes,call,1
F6,7,forest,4,04/03/2023,post-winter,Nepal Fulvetta,Alcippe nipalensis,Leiothrichidae,Passeriformes,call,1
B3,8,bamboo,4,08/03/2023,post-winter,Rufous-capped Babbler,Cyanoderma ruficeps,Timaliidae,Passeriformes,call,1
B3,8,bamboo,4,08/03/2023,post-winter,Rufous-faced Warbler,Abroscopus albogularis,Scotocercidae,Passeriformes,call,1
B3,8,bamboo,4,08/03/2023,post-winter,Striated Laughingthrush,Grammatoptila striata,Leiotrichidae,Passeriformes,call,2
B3,8,bamboo,4,08/03/2023,post-winter,White-throated Fantail,Rhipidura albicollis,Rhipiduridae,Passeriformes,call,1
B3,8,bamboo,4,08/03/2023,post-winter,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes,call,1
J8,7,jhum,4,08/03/2023,post-winter,Brownish-flanked Bush Warbler,Horornis fortipes,Scotocercidae,Passeriformes,call,1
J8,7,jhum,4,08/03/2023,post-winter,Golden Babbler,Cyanoderma chrysaeum,Timaliidae,Passeriformes,call,1
J8,7,jhum,4,08/03/2023,post-winter,Grey Treepie,Dendrocitta formosae,Corvidae,Passeriformes,sight,1
J8,7,jhum,4,08/03/2023,post-winter,Hill Prinia,Prinia superciliaris,Cisticolidae,Passeriformes,call,1
J8,7,jhum,4,08/03/2023,post-winter,Hume's Bush Warbler,Horornis brunnescens,Scotocercidae,Passeriformes,call,1
J8,7,jhum,4,08/03/2023,post-winter,Mountain Tailorbird,Phyllergates cucullatus,Scotocercidae,Passeriformes,call,1
F1,7,forest,4,09/03/2023,post-winter,Black Bulbul,Hypsipetes leucocephalus,Pycnonotidae,Passeriformes,call,1
F1,7,forest,4,09/03/2023,post-winter,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes,call,1
F1,7,forest,4,09/03/2023,post-winter,Great Barbet,Psilopogon virens,Megalaimidae,Piciformes,sight,2
F1,7,forest,4,09/03/2023,post-winter,Green-tailed Sunbird,Aethopyga nipalensis,Nectariniidae,Passeriformes,call,1
F1,7,forest,4,09/03/2023,post-winter,Grey Treepie,Dendrocitta formosae,Corvidae,Passeriformes,call,1
F1,7,forest,4,09/03/2023,post-winter,Grey-cheeked Warbler,Phylloscopus poliogenys,Phylloscopidae,Passeriformes,call,1
F1,7,forest,4,09/03/2023,post-winter,Grey-chinned Minivet,Pericrocotus solaris,Campephagidae,Passeriformes,sight,1
F1,7,forest,4,09/03/2023,post-winter,Himalayan Cutia,Cutia nipalensis,Leiothrichidae,Passeriformes,sight,6
F1,7,forest,4,09/03/2023,post-winter,Lemon-rumped Warbler,Phylloscopus chloronotus,Phylloscopidae,Passeriformes,call,1
F1,7,forest,4,09/03/2023,post-winter,Mountain Bulbul,Ixos mcclellandii,Pycnonotidae,Passeriformes,sight,4
F1,7,forest,4,09/03/2023,post-winter,Orange-bellied Leafbird,Chloropsis hardwickii,Chloropseidae,Passeriformes,sight,3
F1,7,forest,4,09/03/2023,post-winter,Rufous-necked Laughingthrush,Pterorhinus ruficollis,Leiotrichidae,Passeriformes,call,1
F1,7,forest,4,09/03/2023,post-winter,Whiskered Yuhina,Yuhina flavicollis,Zosteropidae,Passeriformes,sight,5
F1,7,forest,4,09/03/2023,post-winter,White-gorgeted Flycatcher,Anthipes monileger,Muscicapidae,Passeriformes,call,1
F1,7,forest,4,09/03/2023,post-winter,White-throated Fantail,Rhipidura albicollis,Rhipiduridae,Passeriformes,call,1
F1,7,forest,4,09/03/2023,post-winter,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes,call,1
F4,7,forest,4,09/03/2023,post-winter,Ashy Drongo,Dicrurus leucophaeus,Dicruridae,Passeriformes,call,1
